tractAffGeoId	long	lat
1400000US17019005702	-88.190737	40.098384
1400000US17019005702	-88.190698	40.09474
1400000US17019005702	-88.190596	40.090697
1400000US17019005702	-88.190595	40.089248
1400000US17019005702	-88.190576	40.087844
1400000US17019005702	-88.190496	40.083807
1400000US17019005702	-88.199291	40.083766
1400000US17019005702	-88.199957	40.083766
1400000US17019005702	-88.201602	40.083775
1400000US17019005702	-88.20942	40.083724
1400000US17019005800	-88.217755	40.112804
1400000US17019005800	-88.217727	40.110613
1400000US17019005800	-88.217713	40.10909
1400000US17019005800	-88.217693	40.107438
1400000US17019005800	-88.217528	40.098216
1400000US17019005800	-88.214308	40.098249
1400000US17019005800	-88.209637	40.098293
1400000US17019005800	-88.204905	40.098327
1400000US17019005800	-88.204975	40.10559
1400000US17019005800	-88.208684	40.105536
1400000US17019005800	-88.208854	40.105577
1400000US17019005800	-88.208809	40.106614
1400000US17019005800	-88.208861	40.109203
1400000US17019005800	-88.208912	40.111447
1400000US17019005800	-88.210347	40.111549
1400000US17019005800	-88.210378	40.112353
1400000US17019005800	-88.21609	40.112772
1400000US17019005800	-88.217755	40.112804
1400000US17019005900	-88.228818	40.112719
1400000US17019005900	-88.228753	40.110309
1400000US17019005900	-88.228746	40.109085
1400000US17019005900	-88.228725	40.105462
1400000US17019005900	-88.228621	40.100566
1400000US17019005900	-88.226451	40.100582
1400000US17019005900	-88.224228	40.1006
1400000US17019005900	-88.223458	40.100598
1400000US17019005900	-88.219116	40.100626
1400000US17019005900	-88.219114	40.098168
1400000US17019005900	-88.217528	40.098216
1400000US17019005900	-88.217693	40.107438
1400000US17019005900	-88.217713	40.10909
1400000US17019005900	-88.217727	40.110613
1400000US17019005900	-88.217755	40.112804
1400000US17019005900	-88.222291	40.112779
1400000US17019005900	-88.228818	40.112719
1400000US17019006000	-88.238372	40.083345
1400000US17019006000	-88.238394	40.068933
1400000US17019006000	-88.238361	40.065294
1400000US17019006000	-88.238317	40.061695
1400000US17019006000	-88.238296	40.054382
1400000US17019006000	-88.228299	40.054426
1400000US17019006000	-88.209213	40.054568
1400000US17019006000	-88.209237	40.069136
1400000US17019006000	-88.209331	40.076453
1400000US17019006000	-88.209419	40.08358
1400000US17019006000	-88.20942	40.083724
1400000US17019006000	-88.209523	40.090906
1400000US17019006000	-88.209586	40.0951
1400000US17019006000	-88.209637	40.098293
1400000US17019006000	-88.214308	40.098249
1400000US17019006000	-88.217528	40.098216
1400000US17019006000	-88.219114	40.098168
1400000US17019006000	-88.219116	40.100626
1400000US17019006000	-88.223458	40.100598
1400000US17019006000	-88.224228	40.1006
1400000US17019006000	-88.226451	40.100582
1400000US17019006000	-88.228621	40.100566
1400000US17019006000	-88.2302	40.100555
1400000US17019006000	-88.23106	40.100551
1400000US17019006000	-88.231078	40.098094
1400000US17019006000	-88.228687	40.098112
1400000US17019006000	-88.228627	40.095216
1400000US17019006000	-88.22861	40.094479
1400000US17019006000	-88.228577	40.091083
1400000US17019006000	-88.228506	40.090921
1400000US17019006000	-88.232515	40.090852
1400000US17019006000	-88.232952	40.083493
1400000US17019006000	-88.235716	40.083441
1400000US17019006000	-88.238372	40.083345
1400000US17019010604	-88.46336	40.128504
1400000US17019010604	-88.463301	40.120206
1400000US17019010604	-88.463272	40.116791
1400000US17019010604	-88.46302	40.05503
1400000US17019010604	-88.426087	40.055106
1400000US17019010604	-88.388063	40.055172
1400000US17019010604	-88.387826	40.05516
1400000US17019010604	-88.350108	40.055273
1400000US17019010604	-88.350543	40.098746
1400000US17019010604	-88.350591	40.106381
1400000US17019010604	-88.350658	40.112832
1400000US17019010604	-88.350664	40.11311
1400000US17019010604	-88.350666	40.113227
1400000US17019010604	-88.350819	40.127706
1400000US17019010604	-88.350914	40.142241
1400000US17019010604	-88.295857	40.142132
1400000US17019010604	-88.292577	40.142164
1400000US17019010604	-88.289388	40.14431
1400000US17019010604	-88.287486	40.142761
1400000US17019010604	-88.287302	40.142909
1400000US17019010604	-88.283811	40.145956
1400000US17019010604	-88.277272	40.140783
1400000US17019010604	-88.277281	40.141014
1400000US17019010604	-88.277363	40.143234
1400000US17019010604	-88.277099	40.145296
1400000US17019010604	-88.276962	40.147015
1400000US17019010604	-88.276963	40.147532
1400000US17019010604	-88.276967	40.148692
1400000US17019010604	-88.276972	40.148806
1400000US17019010604	-88.276991	40.14936
1400000US17019010604	-88.277032	40.152299
1400000US17019010604	-88.277092	40.156635
1400000US17019010604	-88.271781	40.156527
1400000US17019010604	-88.270094	40.156933
1400000US17019010604	-88.258124	40.156517
1400000US17019010604	-88.248678	40.156403
1400000US17019010604	-88.242464	40.156349
1400000US17019010604	-88.23925	40.1563
1400000US17019010604	-88.239313	40.160002
1400000US17019010604	-88.239341	40.160003
1400000US17019010604	-88.239531	40.170894
1400000US17019010604	-88.21777	40.171027
1400000US17019010604	-88.219482	40.166517
1400000US17019010604	-88.22996	40.141766
1400000US17019010604	-88.229196	40.14176
1400000US17019010604	-88.227676	40.141759
1400000US17019010604	-88.227286	40.141759
1400000US17019010604	-88.223983	40.141778
1400000US17019010604	-88.219941	40.141807
1400000US17019010604	-88.214307	40.141861
1400000US17019010604	-88.200811	40.142
1400000US17019010604	-88.200819	40.141915
